label,product,szenariodate,memory_total (MB),memory_rss (MB),memory_cache(MB),memory_swap(MB),memory_pgpgin (pages),memory_pgpgout (pages),memory_quota (MB)
iText-2a,iText,2a, 1.517963986E12,971.70,968.80,2.90,0.00,914950,789345,1024.00
iText-2b,iText,2b, 1.517964007E12,981.20,978.30,2.90,0.00,918558,790522,1024.00
iText-2b,iText,2b, 1.517964027E12,979.71,976.80,2.90,0.00,924285,796631,1024.00
iText-2b,iText,2b, 1.517964047E12,980.21,977.30,2.90,0.00,928118,800336,1024.00
iText-2b,iText,2b, 1.517964067E12,979.78,976.88,2.90,0.00,933888,806215,1024.00
iText-2b,iText,2b, 1.517964087E12,979.78,976.88,2.90,0.00,938733,811061,1024.00
iText-2b,iText,2b, 1.517964107E12,982.28,979.38,2.90,0.00,942795,814993,1024.00
iText-2b,iText,2b, 1.517964126E12,980.29,977.38,2.90,0.00,946432,819141,1024.00
iText-2b,iText,2b, 1.517964147E12,981.29,978.39,2.90,0.00,950798,823761,1024.00
iText-2b,iText,2b, 1.517964167E12,976.28,973.38,2.90,0.00,955869,830115,1024.00
iText-2b,iText,2b, 1.517964187E12,978.29,975.39,2.90,0.00,960712,834953,1024.00
iText-2b,iText,2b, 1.517964207E12,982.33,979.39,2.94,0.00,964707,838937,1024.00
iText-2b,iText,2b, 1.517964227E12,979.79,976.89,2.90,0.00,969427,844306,1024.00
iText-2b,iText,2b, 1.517964247E12,980.85,977.95,2.90,0.00,974628,849236,1024.00
iText-2b,iText,2b, 1.517964267E12,980.09,977.18,2.90,0.00,978158,852962,1024.00
iText-2b,iText,2b, 1.517964288E12,978.35,975.45,2.90,0.00,985274,860522,1024.00
iText-2b,iText,2b, 1.517964307E12,977.88,974.98,2.90,0.00,990709,866077,1024.00
iText-2b,iText,2b, 1.517964327E12,980.38,977.48,2.90,0.00,995703,870943,1024.00
iText-2b,iText,2b, 1.517964347E12,982.39,979.48,2.90,0.00,1000783,876020,1024.00
iText-2b,iText,2b, 1.517964368E12,984.05,981.14,2.90,0.00,1007353,881654,1024.00
iText-2b,iText,2b, 1.517964388E12,984.89,981.99,2.90,0.00,1013904,887989,1024.00
iText-2b,iText,2b, 1.517964407E12,977.54,974.64,2.90,0.00,1019451,895417,1024.00
iText-2b,iText,2b, 1.517964427E12,977.54,974.64,2.90,0.00,1022785,898751,1024.00
iText-2b,iText,2b, 1.517964447E12,979.07,976.16,2.90,0.00,1027874,903450,1024.00
iText-2b,iText,2b, 1.517964467E12,979.11,976.17,2.94,0.00,1032497,908062,1024.00
iText-2b,iText,2b, 1.517964487E12,985.08,982.16,2.93,0.00,1038932,912968,1024.00
iText-2b,iText,2b, 1.517964507E12,974.57,971.67,2.90,0.00,1043508,920235,1024.00
iText-2b,iText,2b, 1.517964526E12,979.14,976.24,2.90,0.00,1049900,925456,1024.00
iText-2b,iText,2b, 1.517964547E12,980.64,977.74,2.90,0.00,1055443,931126,1024.00
iText-2b,iText,2b, 1.517964567E12,976.14,973.24,2.90,0.00,1060681,937516,1024.00
iText-2b,iText,2b, 1.517964587E12,985.20,982.24,2.96,0.00,1066240,942800,1024.00
iText-2b,iText,2b, 1.517964607E12,979.22,976.32,2.90,0.00,1068975,946045,1024.00
iText-2b,iText,2b, 1.517964627E12,979.22,976.32,2.90,0.00,1068975,946045,1024.00
iText-2b,iText,2b, 1.517964647E12,979.22,976.32,2.90,0.00,1068975,946045,1024.00
iText-2b,iText,2b, 1.517964667E12,978.43,975.53,2.90,0.00,1068975,946247,1024.00
